id,Latitude,Length
1,25.7780448,-100.1866734
2,25.7762102,-100.187157
3,25.7840895,-100.1831046
4,25.7852293,-100.1904855
5,25.7744175,-100.1936178
6,25.78709,-100.18535
7,25.7806199,-100.1896607
8,25.7903687,-100.2511456
9,25.7816242,-100.2453515
10,25.7931153,-100.1810743
11,25.7512,-100.2689
12,25.7524,-100.2678
13,25.7536,-100.2667
14,25.7548,-100.2656
15,25.756,-100.2645
16,25.7572,-100.2634
17,25.7584,-100.2623
18,25.7596,-100.2612
19,25.7608,-100.2601
20,25.762,-100.259
21,25.7632,-100.2579
22,25.7644,-100.2568
23,25.7656,-100.2557
24,25.7668,-100.2546
25,25.768,-100.2535
26,25.7692,-100.2524
27,25.7704,-100.2513
28,25.7716,-100.2502
29,25.7728,-100.2491
30,25.774,-100.248
31,25.7752,-100.2469
32,25.7764,-100.2458
33,25.7776,-100.2447
34,25.7788,-100.2436
35,25.78,-100.2425
36,25.7812,-100.2414
37,25.7824,-100.2403
38,25.7836,-100.2392
39,25.7848,-100.2381
40,25.786,-100.237
41,25.7872,-100.2359
42,25.7884,-100.2348
43,25.7896,-100.2337
44,25.7908,-100.2326
45,25.792,-100.2315
46,25.7932,-100.2304
47,25.7944,-100.2293
48,25.7956,-100.2282
49,25.7968,-100.2271
50,25.798,-100.226
51,25.7992,-100.2249
52,25.8004,-100.2238
53,25.8016,-100.2227
54,25.8028,-100.2216
55,25.804,-100.2205
56,25.8052,-100.2194
57,25.8064,-100.2183
58,25.8076,-100.2172
59,25.8088,-100.2161
60,25.81,-100.215
